"","tweet_id","airline_sentiment","airline_sentiment_confidence","negativereason","negativereason_confidence","airline","airline_sentiment_gold","name","negativereason_gold","retweet_count","text","tweet_coord","tweet_created","tweet_location","user_timezone"
"739","-1492623359","negative","1","Customer Service Issue","0.6473","United","","SSest72","","0","@united thanks! We would like an apology and a full refund. Please confirm when we will receive.","","2015-02-17 14:01:50 -0800","",""
"740","1757937664","positive","1","","","Virgin America","","HereticPharaoh","","0","@VirginAmerica wifi AND better seating.","","2015-02-17 14:03:05 -0800","Jersey City New Jersey ","Eastern Time (US & Canada)"
"741","826810369","neutral","1","","","Southwest","","livvyports16","","1","@SouthwestAir when will the winners of #DestinationDragons be announced?","","2015-02-17 14:03:13 -0800","",""
"742","-2007740415","negative","1","Customer Service Issue","1","Southwest","","HannaPioske","","0","@SouthwestAir your customer service is terrible you're terrible thought you should know.","","2015-02-17 14:04:21 -0800","CSB/SJU","Central Time (US & Canada)"
"743","369651713","neutral","1","","","United","","MoonSetGallery","","0","@united I believe you have to follow me in order for me send you a DM","","2015-02-17 14:04:22 -0800","Southern New Jersey","Eastern Time (US & Canada)"
"744","-862642176","positive","1","","","Southwest","","climbforee","","0","@southwestair #fattuesday Great job celebrating #mardigras today at Atlanta Airport. Another reason I'm nuts for you! http://t.co/8WBzOrRn3C","[0.0 0.0]","2015-02-17 14:04:35 -0800","http://goo.gl/eZTfG","Arizona"
"745","-1828159488","positive","1","","","Virgin America","","funky_bbq","","0","@VirginAmerica Are there any plans for a short haul airline in Europe? Would defiantly fly with you guys :)","","2015-02-17 14:04:42 -0800","",""
"746","1363689473","positive","1","","","Virgin America","","Hakenson_LIOX","","0","@VirginAmerica Dad on Segway is the best part of this whole infographic!","[42.5696777 -71.42056878]","2015-02-17 14:04:45 -0800","Waltham MA","Atlantic Time (Canada)"
"747","-1459073024","negative","1","Cancelled Flight","0.6442","United","","CanadianCowgirl","","0","@united yes still need assistance I don't have a flight home due to change in flight u made I miss all connections !","","2015-02-17 14:04:48 -0800","Nova Scotia","Eastern Time (US & Canada)"
"748","1314189312","neutral","1","","","Virgin America","","TheDCD","","0","@VirginAmerica On all your flights?","[0.0 0.0]","2015-02-17 14:04:50 -0800","On a bar floor in Denver.","Mountain Time (US & Canada)"
"749","399826944","neutral","0","","0","Delta","","JetBlueNews","","0","@JetBlue Airways Sees Significant Drop in Short Interest (JBLU) - Mideast Time http://t.co/SSBaUJtOuW","","2015-02-17 14:05:04 -0800","USA","Sydney"
"750","-1584087040","negative","1","Customer Service Issue","1","Delta","","bmk266","","0","@JetBlue tried calling multiple times i just wait and when it finally connects i get hung up on","","2015-02-17 14:05:16 -0800","","Quito"
"751","331894785","negative","1","Lost Luggage","1","Delta","","edgarsantana","","0","@JetBlue pls find my bag I need 2 get home! Very frustrating. Hope my bag is somewhere in @NY_NJairports. Leaving the #jfk w/o my luggage.","","2015-02-17 14:06:17 -0800","ÜT: 40.96513-73.872957","Eastern Time (US & Canada)"
"752","998776832","neutral","1","","","Virgin America","","mattejacob","","0","@VirginAmerica you got cheese pLate Flights too.","[40.78986648 -73.10068286]","2015-02-17 14:06:19 -0800","New York x Long Island","Central Time (US & Canada)"
"753","1637109760","neutral","0","","","Virgin America","","EnonThaPhenom","","0",".@VirginAmerica I heard he has a virgin mobile hotspot ;)","","2015-02-17 14:06:21 -0800","Oakland Ca","Pacific Time (US & Canada)"
"754","-301465599","neutral","0","","0","Delta","","RuizRichard","","0","@JetBlue It's for me I spoke with a rep on the phone who suggested I ""Voice a concern"" via ""Email us"" on your site. I did a few moments ago","","2015-02-17 14:06:32 -0800","Miramar Florida","Eastern Time (US & Canada)"
"755","-1081581568","negative","1","Late Flight","1","Delta","","Tubulus","","0","@jetblue any idea where the plane for flight 672 is coming from? I thought flight 305 from JFK but that wouldn't explain delay.","","2015-02-17 14:06:42 -0800","","Atlantic Time (Canada)"
"756","1918119939","neutral","0","","","Virgin America","","ICEportal","","0","@VirginAmerica Good point!","","2015-02-17 14:07:45 -0800","Hollywood FL","Eastern Time (US & Canada)"
"757","-1043042304","positive","1","","","Delta","","vincenzolandino","","0","@JetBlue we don't need anybody else!","","2015-02-17 14:07:58 -0800","NYC | CT","Eastern Time (US & Canada)"
"758","1976897536","negative","1","Cancelled Flight","1","US Airways","","NickApex","","0","@USAirways stranded @Ernie_Vigil Phoenix w/ broken foot.  Both my flights f'd Sunday for ""sickcrew"".  Cancelled Flighted my mechanics flight today.","","2015-02-17 14:08:20 -0800","",""
"759","-213352447","neutral","1","","","Delta","","CBarrows","","0","@JetBlue If you have well-priced flights to #Oahu - we could be best friends. @vincenzolandino","[0.0 0.0]","2015-02-17 14:08:34 -0800","Wayne NJ","Eastern Time (US & Canada)"
"760","-1748492288","positive","1","","","Virgin America","","tookthecollar","","0","@VirginAmerica thanks so much for sharing. Just added it to my site http://t.co/TsviBTvT8h","","2015-02-17 14:09:03 -0800","",""
"761","-1974157312","neutral","1","","","Delta","","bmk266","","0","@JetBlue the USA help line.  i accidentally booked a flight on a thursday instead of a wednesday and want to switch","","2015-02-17 14:09:14 -0800","","Quito"
"762","-1001902080","negative","1","Customer Service Issue","1","Delta","","ThePRCloset","","0","@JetBlue Ive called you 3 x &amp; waited on hold 10 min each time to be disconnected each time. Enraging! I need to speak to someone! #help","","2015-02-17 14:09:27 -0800","New York City","Eastern Time (US & Canada)"
"763","-1651187712","neutral","0","","0","United","","ColtSTaylor","","0","@united Well It's LA and then a 2hr+ car ride to a dark Palm Springs technically. Maybe I'll get bumped to 1st class Den to PHL on Friday:)","[39.85861725 -104.67232956]","2015-02-17 14:10:12 -0800","All Over The World",""
"764","-24621056","neutral","1","","","United","","VisionRoij","","0","@united Allright! Last question : the power outlets on my flight are available in the premium cabin. Does that include economy plus cabin?","","2015-02-17 14:10:52 -0800","The Netherlands","Amsterdam"
"765","1124605952","negative","1","Customer Service Issue","1","US Airways","","mttdprkr","","0","@USAirways I've been on hold for over 90 minutes... There's a lack of quality service here.  Nobody cares that I hate your shitty airline.","","2015-02-17 14:11:26 -0800","Vancouver WA","Pacific Time (US & Canada)"
"766","1866989568","neutral","1","","","Delta","","CBarrows","","0","@JetBlue Call me when you do and we’ll have to hook up!","[0.0 0.0]","2015-02-17 14:12:09 -0800","Wayne NJ","Eastern Time (US & Canada)"
"767","2039762944","negative","1","Customer Service Issue","1","US Airways","","staciesater","","0","@USAirways is anyone working today?? Anyone want to pick up a phone?","[25.8801693 -80.14141202]","2015-02-17 14:12:32 -0800","Nashville TN","Central Time (US & Canada)"
"768","591949824","negative","0","Bad Flight","0.6458","US Airways","","Sanabia28","","0","@USAirways if ur going 2 charge $20 for wi-fi make sure it works. #Brutal #DialUp b a 100 by the time things load. #TheEnd #GoodDay","","2015-02-17 14:12:44 -0800","Jupiter FL",""
"769","-90894335","positive","1","","","United","","dom_inic15","","0","@united You might be dealing with frustrated passenegers. hope you all have a great day :) thank you very much for an amazing airline :)","","2015-02-17 14:13:58 -0800","","Eastern Time (US & Canada)"
"770","-305627135","negative","1","Late Flight","1","US Airways","","earlp","","0","@USAirways flight 4524 delayed for 2 hours for a deadhead crew.  Lets make 150 paying customers wait ...that is great service #USAirways","","2015-02-17 14:14:45 -0800","","Quito"
"771","-771194880","negative","1","Customer Service Issue","1","Southwest","","melilam","","0","@SouthwestAir I do need help Cancelled Flighting my flight back. Your calls times are ridiculous.","","2015-02-17 14:15:55 -0800"," NASHVILLETN ","Central Time (US & Canada)"
"772","1955905537","negative","1","Customer Service Issue","0.7012","Virgin America","","wtcgroup","","0","@VirginAmerica Man of steel flies to more cities though...and with more frequency too.","","2015-02-17 14:17:57 -0800","SF Bay Area/ Las Vegas",""
"773","1002987520","positive","1","","","US Airways","","DCSas","","0","@USAirways Flight # 604. Thanks.","","2015-02-17 14:18:09 -0800","ÜT: 38.907675-76.944183","Eastern Time (US & Canada)"
"774","-1768636415","neutral","1","","","United","","UnitedAppeals","","0","@united @gg8929 Ladies and gents - United Airlines...","","2015-02-17 14:18:13 -0800","London UK",""
"775","2085928960","positive","0","","0","Southwest","","Its_Afton","","0","@SouthwestAir No worries at all!!! I would rather be safe on the ground than take any chances. Yes! Tomorrow AM if BNA reopens ☺️","","2015-02-17 14:18:48 -0800","Nashville TN","Eastern Time (US & Canada)"
"776","797458432","neutral","0","","","Delta","","vincenzolandino","","0","seriously I want to work on the JetBlue social team RT @JetBlue: @vincenzolandino http://t.co/eiGaJyzcW2","","2015-02-17 14:19:24 -0800","NYC | CT","Eastern Time (US & Canada)"
"777","-1027051519","negative","1","Customer Service Issue","1","Delta","","ThePRCloset","","0","@JetBlue dropped 3x in past hour","","2015-02-17 14:19:45 -0800","New York City","Eastern Time (US & Canada)"
"778","-388558848","positive","1","","","Delta","","vincenzolandino","","0","@JetBlue this makes me happy. I hope these aren't empty promises.","","2015-02-17 14:19:51 -0800","NYC | CT","Eastern Time (US & Canada)"
"779","-376950784","neutral","1","","","Delta","","DontenPhoto","","0","@JetBlue Flight 1133 (N353JB) ""Blue La La"" departs @mco enroute to San Juan International Airport http://t.co/SWZm2fX3nu","","2015-02-17 14:20:15 -0800","Englewood Florida","Eastern Time (US & Canada)"
"780","-1231806464","negative","1","Bad Flight","0.3544","United","","CajunSQL","","0","@united missed it.  Incoming on time then Sat for 30 then no jetbridge driver...missed a 45min connection from an on time flight...","","2015-02-17 14:20:21 -0800","Baton Rouge LA",""
"781","1473585152","neutral","0","","0","Southwest","","babyluv590","","0","@SouthwestAir we're flying out tomorrow! PLEASE DONT Cancelled Flight!! Lol 😜✈️","","2015-02-17 14:21:28 -0800","murfreesboro","Pacific Time (US & Canada)"
"782","-511156224","negative","0","Flight Booking Problems","0.6495","Southwest","","Tinygami","","0","@SouthwestAir I did but it only shows one flight one way. When I try to go to the home page and book roundtrip there's nothing available :(","","2015-02-17 14:21:40 -0800","Michigan","Tehran"
"783","-1693138943","positive","0","","","United","","bernardfparsons","","0","@united JT thanks for your help I’ll complete the form once we are back home","","2015-02-17 14:22:02 -0800","Ontario Canada","Eastern Time (US & Canada)"
"784","910692354","negative","1","Bad Flight","1","United","","RLaPedis","","0","@United Hidden City forces me into crappy seat even though exit row is available on the first leg. Your support cannot fix. :-(","","2015-02-17 14:22:10 -0800","San Bruno CA","Pacific Time (US & Canada)"
"785","256405504","negative","1","Can't Tell","0.6553","United","","barneykelley","","0","@united I'll be sending/posting complete details of the circumstances surrounding this matter.  United airlines should be ashamed.","","2015-02-17 14:22:19 -0800","New Canaan Ct",""
"786","-2074808319","neutral","0","","","United","","CajunSQL","","0","@united but the gate agent and club staff got me priority standby for next so might only be minor disaster...#travelingwithsmallkids","","2015-02-17 14:22:32 -0800","Baton Rouge LA",""
"787","1322590208","negative","0","Customer Service Issue","0.6957","United","","SurveysOnTheGo","","0","@united They couldn't get me first class on any of their flights so I just rebooked myself.","","2015-02-17 14:22:36 -0800","Costa Mesa","Pacific Time (US & Canada)"
"788","1880367104","neutral","1","","","Southwest","","brentreichert","","0","@SouthwestAir On flight 771 tomorrow (Wed 2/18) DEN-BNA. Will we be delayed or Cancelled Flightled?","","2015-02-17 14:22:43 -0800","Boulder","Pacific Time (US & Canada)"
"789","1876213760","neutral","0","","0","Virgin America","","SimplyImplicit","","0","@VirginAmerica do you have an application for iOS? Was looking and only saw Virgin Mexico :( &lt;/3","","2015-02-17 14:22:48 -0800","Los Angeles CA","Central Time (US & Canada)"
"790","332718080","negative","0","Flight Booking Problems","0.3535","US Airways","","Brandy_Fisher","","0","@USAirways This flight was for my brother. He has been rebooked and I was able to give my info over the phone to get him a pass to the Club.","","2015-02-17 14:23:23 -0800","Miss California United States","Eastern Time (US & Canada)"
"791","-795586560","negative","1","Late Flight","0.3544","Southwest","","HannaPioske","","0","@SouthwestAir not as sorry as I was when I sat on a plane for 3 hours waiting for the engine to be fixed and THEN got my luggage lost but k","","2015-02-17 14:23:56 -0800","CSB/SJU","Central Time (US & Canada)"
"792","1229463553","negative","0","Can't Tell","0.6722","Southwest","","justjananicole","","0","@SouthwestAir done messed up now!!! I have planned a trip to #CostaRica for pennies!!! #VacaTime ✈️💺","","2015-02-17 14:24:11 -0800","Baltimore MD","Eastern Time (US & Canada)"
"793","1770536960","positive","0","","","Delta","","Lynnche324","","1","@JetBlue @vincenzolandino @CBarrows You take to me places @united simply can't...like non-stop to St. Lucia.","","2015-02-17 14:24:11 -0800","Jersey City NJ ",""
"794","1351917569","negative","1","Customer Service Issue","0.6359","United","","antoniocosta64","","0","@united calling that number was useless. Heading to the airport now to pick up my bags. this whole situation seems like a real joke.","","2015-02-17 14:24:44 -0800","Conway AR",""
"795","-2113388544","neutral","1","","","US Airways","","Brandy_Fisher","","0","@USAirways I will be traveling from LAX to CLT to HTS I have been rebooked for tomorrow due to the travel advisory.","","2015-02-17 14:24:45 -0800","Miss California United States","Eastern Time (US & Canada)"
"796","-1089196032","negative","1","Customer Service Issue","0.6317","United","","MelodyKho","","0","@united No. The entire problem here is that I was never sent anything via email and only given a Flight Booking Problems number over the phone.","","2015-02-17 14:25:43 -0800","NYC Toronto ","Quito"
"797","-426377216","negative","1","Flight Booking Problems","0.3446","United","","NaftuliPollak","","5","@united @UnitedAppeals @gg8929 What kind of hypocrisy is that? Only Cancelled Flightling tickets with bad exchange rate if in your advantage #united","","2015-02-17 14:26:28 -0800","","Amsterdam"
"798","-1894326272","negative","1","Flight Attendant Complaints","0.6706","US Airways","","btr5017","","0","@USAirways @AmericanAir Your staff members are looking at me like I have two heads. Check your own websites!!! http://t.co/8Hh0c63TIe","","2015-02-17 14:26:33 -0800","","Eastern Time (US & Canada)"
"799","-1105854464","neutral","1","","","US Airways","","gkorwan","","0","@USAirways @satesq theres only one flt PHL-CRW per day.","","2015-02-17 14:26:33 -0800","Charleston","Atlantic Time (Canada)"
"800","903143424","positive","1","","","Virgin America","","mynejas","","0","@VirginAmerica thanks for the free birthday points! y'all are ALL RIGHT with me!","","2015-02-17 14:26:40 -0800","Oakland CA","Pacific Time (US & Canada)"
"801","504676352","negative","1","Can't Tell","0.6904","Southwest","","gmckevitt112","","0","@SouthwestAir I told myself last time I would never fly you again. I really messed up today. Thanks flight 1802. Worst airline ever","","2015-02-17 14:27:14 -0800","Boston ",""
"802","-1730777088","positive","0","","","US Airways","","TGRunningLady","","0","@USAirways Frustrating days!No flights home changed airlines. Thank you PHL USAirway employees &amp; @united for help getting me back to IAH.","","2015-02-17 14:27:48 -0800","",""
"803","-1756053504","negative","1","Customer Service Issue","0.6651","Southwest","","life_as_lane","","0","@SouthwestAir I was helped by a nice lady at PHX checkin. I spent 4 hours on hold in 24 hours so might want to look at efficiency there.","","2015-02-17 14:27:54 -0800","","Central Time (US & Canada)"
"804","-1526185984","negative","1","Lost Luggage","1","Delta","","edgarsantana","","0","@JetBlue pls send an IT tech 2 baggage office. Poor guy is trying 2 print my claim &amp; can't. I need 2 get home. Upgrade 2 @HP printers MFPs","","2015-02-17 14:28:15 -0800","ÜT: 40.96513-73.872957","Eastern Time (US & Canada)"
"805","1133793280","negative","1","Late Flight","1","United","","hdlytle","","0","@united stuck here in IAH waiting on flight 253 to Honolulu for 7 hours due to maintenance issues. Could we have gotten a new plane!?!? Fail","","2015-02-17 14:28:25 -0800","",""
"806","-61472768","neutral","1","","","United","","VisionRoij","","0","@united 877 from amsterdam to ewr 02.27.2015 737-300.","","2015-02-17 14:29:12 -0800","The Netherlands","Amsterdam"
"807","764841984","negative","1","Customer Service Issue","0.6471","US Airways","","CGrescueswimmer","","0","@USAirways yes I can pay out of pocket that us not helping me for loosing my first class ticket to coach.   I want resolution or a comp","","2015-02-17 14:29:13 -0800","St. Louis MO","Central Time (US & Canada)"
"808","705200128","positive","0","","","Virgin America","","SimplyImplicit","","0","@VirginAmerica I don’t use Passbook =/ I still love you though &lt;3 :) I’ll just use my email in the future.","","2015-02-17 14:29:14 -0800","Los Angeles CA","Central Time (US & Canada)"
"809","1036546048","negative","1","Customer Service Issue","1","Southwest","","sjcourson","","0","@SouthwestAir extremely #disappointed with poor the customer service provided after Cancelled Flighting my flight today! #unprofessional","","2015-02-17 14:29:17 -0800","St. Petersburg","Eastern Time (US & Canada)"
"810","1494544384","positive","1","","","Southwest","","SimonOh","","0","@SouthwestAir About time...and just in time for my next flight Thursday.","","2015-02-17 14:29:48 -0800","Campbell CA","Pacific Time (US & Canada)"
"811","55062528","negative","1","Customer Service Issue","1","Delta","","ThePRCloset","","0","@JetBlue yes 3 times. I need some one to call me and help me change a flight. I can't do online. Thanks.","","2015-02-17 14:30:47 -0800","New York City","Eastern Time (US & Canada)"
"812","1096044545","neutral","0","","","Delta","","heatherdopson","","0","@JetBlue That's right! :) Game set match.","","2015-02-17 14:31:06 -0800","Jetsetter ✈",""
"813","-1136115712","negative","1","Customer Service Issue","1","United","","CWWMUK","","0","@united so I wasted 40mins filling in 2 online forms you are telling me you didn't receive how do I know this won't happen this time?","","2015-02-17 14:32:23 -0800","North West of England",""
"814","-1621811200","negative","1","Can't Tell","0.6591","Southwest","","BenWGarton","","0","@SouthwestAir can you make a premium wifi that I can pay $30 for that is decent? #slow-fi","","2015-02-17 14:32:56 -0800","Oakdale CA","Pacific Time (US & Canada)"
"815","1623744512","neutral","0","","0","United","","CWWMUK","","0","@united do you have an e-mail address I can write my account to? Might be less likely to disappear","","2015-02-17 14:33:02 -0800","North West of England",""
"816","-1559744512","negative","1","Customer Service Issue","0.668","Delta","","ProfessorpaUL15","","0","@JetBlue - why does my TSA-pre work with every airline BUT you? I pay good money for that. Spent 30 mins on phone to fix to zero success.","[42.36604659 -71.01573889]","2015-02-17 14:33:04 -0800","","Atlantic Time (Canada)"
"817","600330242","negative","0","Flight Booking Problems","0.3297","United","","super_marek","","4","@united @gg8929 so why did you Cancelled Flight tickets for thousands of people when you didn't like the exchange rate? #doublestandards","","2015-02-17 14:33:24 -0800","between Warsaw and London","London"
"818","1548230657","neutral","0","","0","Southwest","","ms__amandaaa","","0","@SouthwestAir iiiii need help with my flight schedule!!! haha","","2015-02-17 14:33:24 -0800","on the water☀","Eastern Time (US & Canada)"
"819","2022199297","negative","1","Customer Service Issue","0.6882","United","","CWWMUK","","0","@united just tried to log in and was told e-mail log in not currently available","","2015-02-17 14:33:30 -0800","North West of England",""
"820","357994496","positive","1","","","Southwest","","GTCrudeOil","","0","@SouthwestAir Thank you. I know ya'll can't control the weather. I appreciate ya'll working to get my flight rebooked the last two days.","[36.0212589 -86.5447783]","2015-02-17 14:34:13 -0800","",""
"821","-367738880","negative","1","Flight Booking Problems","0.6701","United","","annricord","","1","@united If you have had any issues with  United Airlines PLEASE retweet. Paid for a full fight ticket and was given a standby instead.","","2015-02-17 14:34:21 -0800","Canmore","Mountain Time (US & Canada)"
"822","2098470912","negative","1","Customer Service Issue","0.6929","United","","coolingpie","","0","@united thanks for that advice so helpful. Can't believe you guys actually charge people to ""fly"" united","[45.58931882 -122.5959928]","2015-02-17 14:35:32 -0800","the questions district","Eastern Time (US & Canada)"
"823","-1915326464","neutral","0","","0","United","","dynamoben","","0","@united Yesterday I'm sorted now.","","2015-02-17 14:35:34 -0800","US","America/Chicago"
"824","689225728","positive","0","","","Delta","","JetBlueNews","","0","@JetBlue's CEO battles to appease passengers and Wall Street - http://t.co/uy28D1UEgX http://t.co/vJFV7KSGcQ","","2015-02-17 14:36:05 -0800","USA","Sydney"
"825","1737773056","positive","1","","","Virgin America","","mynejas","","0","@VirginAmerica I love the dancing little richard. cool beans.","","2015-02-17 14:36:11 -0800","Oakland CA","Pacific Time (US & Canada)"
"826","-272105472","negative","1","Cancelled Flight","1","Southwest","","kyddsr","","0","@SouthwestAir yeah all 4 are rebooked for tomorrow AM. Hoping the 3rd time is a charm for no Cancelled Flightled flights!","","2015-02-17 14:36:35 -0800","nashville tn","Central Time (US & Canada)"
"827","1930731520","neutral","1","","","United","","boombaby55","","0","@united no thanks","","2015-02-17 14:37:41 -0800","san diego",""
"828","-837537792","negative","1","Damaged Luggage","1","Southwest","","DecembriaDawn","","0","@SouthwestAir thanks for taking such good care of my luggage... http://t.co/PIvxean3jY","","2015-02-17 14:38:00 -0800","Los Angeles New Orleans!",""
"829","840245248","negative","1","Customer Service Issue","0.339","United","","1MisterHandsome","","0","@united A 3rd party service you use to sell your tickets has ripped me off. Excellent service United is offering.","","2015-02-17 14:41:16 -0800","","Atlantic Time (Canada)"
"830","-293076992","negative","1","Late Flight","1","United","","caphotographix","","0","@united flight UA3364 been sitting on tarmac for 30 mins with no report as to why...any input?","","2015-02-17 14:41:35 -0800","",""
"831","-1886883840","neutral","0","","0","United","","VisionRoij","","0","@united Does the economy plus cabin also qualifies as a ""premium"" cabin?","","2015-02-17 14:42:52 -0800","The Netherlands","Amsterdam"
"832","-1978269696","negative","1","Customer Service Issue","0.6522","US Airways","","SyncSummit","","0","@USAirways 8 weeks to refund this ticket - 0372389047497?!? - totally unacceptable.  Fix this or I'll put it on blast on social media and TV","","2015-02-17 14:43:33 -0800","Where Music meets Visual Media","Eastern Time (US & Canada)"
"833","-1772810240","negative","1","Late Flight","0.6989","Delta","","bioldame491","","0","@JetBlue flight 894 first officer not even at the airport wow!!!!!! Unreal staff waited until we all boarded to announce we are delayed.","","2015-02-17 14:43:55 -0800","New York NY","Eastern Time (US & Canada)"
"834","-1760256000","positive","0","","","Southwest","","andresjuarezlop","","0","@SouthwestAir Thanks. I'll keep checking. I'm trying to book our first Disney World vacation.","","2015-02-17 14:44:35 -0800","San Antonio","Central Time (US & Canada)"
"835","-1803022335","negative","0","Can't Tell","0.6803","Southwest","","ishboo3002","","0","@SouthwestAir Any plans to make the southwest app for Android not crappy?","","2015-02-17 14:46:45 -0800","Tucson AZ","Pacific Time (US & Canada)"
"836","1926635520","neutral","1","","","Delta","","ejz71","","0","@JetBlue     Is it only $50 for my 2nd bag?  1st bag too full..","","2015-02-17 14:46:50 -0800","plymouth ",""
"837","-1698148351","neutral","1","","","Southwest","","cjc925","","0","@SouthwestAir I know it is hard to predict but how are flights from Dallas to Nashville tomorrow AM?","","2015-02-17 14:47:10 -0800","ÜT: 35.935585-86.886267","Eastern Time (US & Canada)"
"838","-1525387264","negative","0","Can't Tell","0.3394","Delta","","luisauraalvarez","","0","@JetBlue whose performing at T5","","2015-02-17 14:48:31 -0800","❤","Eastern Time (US & Canada)"
"839","1733726208","positive","0","","","United","","VisionRoij","","0","@united Thanks!","","2015-02-17 14:49:08 -0800","The Netherlands","Amsterdam"
"840","-510332928","negative","0","Late Flight","0.6341","Delta","","luisauraalvarez","","0","@JetBlue @EllaHenderson the highlight of being delayed #freeconcert","","2015-02-17 14:49:32 -0800","❤","Eastern Time (US & Canada)"
"841","345399296","negative","1","Customer Service Issue","0.6727","US Airways","","DropMeAnywhere","","0","@USAirways They're all reservations numbers and none are in Hungary. And my phone not working here. You make it too difficult.","[0.0 0.0]","2015-02-17 14:50:56 -0800","Here There and Everywhere","Arizona"
"842","-95145984","negative","1","Late Flight","1","Delta","","bioldame491","","0","@JetBlue we are delayed until he arrives","","2015-02-17 14:51:05 -0800","New York NY","Eastern Time (US & Canada)"
"843","403189760","negative","1","Bad Flight","0.6768","US Airways","","mintzrandy","","0","@USAirways very disappointed I wasn't ""allowed"" to change seats after checking in early online for a flight tomorrow morning.","","2015-02-17 14:51:39 -0800","Philadelphia Suburbs","Eastern Time (US & Canada)"
"844","-1114206208","negative","1","Customer Service Issue","1","Southwest","","swood40","","0","@SouthwestAir @Matt_e_Boss how long did you have to hold? We waited 35 minutes and gave up","","2015-02-17 14:51:58 -0800","Sunrise Beach MO","Central Time (US & Canada)"
"845","-565678079","negative","0","Late Flight","0.6477","Southwest","","Cody_Butler","","0","@SouthwestAir can I get any kind of update on the delayed flight from Boston to Houston at 7:30? Really need to be back home tonight!","","2015-02-17 14:52:02 -0800","College Station Texas","Central Time (US & Canada)"
"846","-2099904512","positive","1","","","United","","TroopSwapWife","","0","@united Elizabeth at Washington Dulles just hooked me up with a new connecting flight at my gate! I'm super pleased!","","2015-02-17 14:52:42 -0800","Hampton Roads Virginia","Atlantic Time (Canada)"
"847","1440096256","negative","1","Customer Service Issue","0.6619","US Airways","","DropMeAnywhere","","0","@USAirways And really it's a middle initial versus middle name. All else the same. Not spending my time on your computer issues.","[0.0 0.0]","2015-02-17 14:52:44 -0800","Here There and Everywhere","Arizona"
"848","-942247936","negative","0","Customer Service Issue","0.3559","United","","gg8929","","0","@united Classic","","2015-02-17 14:53:09 -0800","","Amsterdam"
"849","-452440064","negative","1","Late Flight","0.3735","Southwest","","chi_ab","","0","@SouthwestAir we are 2 mins from departure of 4125 and no announced update nor an update to on time status. Everyone just standing. #comeon","","2015-02-17 14:54:19 -0800","Chicago","Central Time (US & Canada)"
"850","1842618369","negative","1","Customer Service Issue","1","Southwest","","swood40","","0","@SouthwestAir Does anyone ever answer your phone? #poor","","2015-02-17 14:55:03 -0800","Sunrise Beach MO","Central Time (US & Canada)"
"851","-1912057856","positive","1","","","US Airways","","kbutsunturn","","0","@USAirways with the weather mess in the South I missed my connection in CLT. Impressed though with the Cust Serv phone reps today.","","2015-02-17 14:55:18 -0800","Raleigh NC",""
"852","55066625","negative","1","Late Flight","0.3457","US Airways","","earlp","","0","@USAirways flight 4524  first a 2 hour wait for a deadhead crew  then deadhead crew takes overhead bin space paying customers annoyed","","2015-02-17 14:55:43 -0800","","Quito"
"853","-1831571456","negative","0","Can't Tell","0.3558","US Airways","","ChloeLynne17","","0","@USAirways strikes again. @emilylyonss  I strongly suggest you live tweet your ordeal. Their media team appreciates the updates 😎","","2015-02-17 14:57:24 -0800","",""
"854","152363009","negative","1","Cancelled Flight","1","United","","legendjohn11","","0","@united if our already rescheduled flight is Cancelled Flightled is our hotel room paid for?","","2015-02-17 14:57:42 -0800","",""
"855","483827712","negative","1","Customer Service Issue","1","Southwest","","Laulipop517","","0","@SouthwestAir can't checkin online for 2:00 flight tmrw fr. Cancun. ""Undefined error"" &amp; 800# not working.Family of 4 don't want Cgroup! Help","","2015-02-17 14:58:16 -0800","",""
"856","-732635136","negative","1","Late Flight","1","US Airways","","shipge","","0","@USAirways It was US 893. The gate was open after about 50 mins waiting. What a great way to finish an 18 hour delayed arrival!!","","2015-02-17 14:59:26 -0800","Chicago","Central Time (US & Canada)"
"857","533995520","positive","0","","","Southwest","","pet1713","","0","@SouthwestAir El Paso deals....May❤❤❤😍🌏","[30.0554953 -95.1659332]","2015-02-17 14:59:42 -0800","Houston TX","Eastern Time (US & Canada)"
"858","-284676096","negative","0","Customer Service Issue","0.3539","United","","CWWMUK","","0","@united Now submitted for the third time please check and confirm receipt. Have taken screen shots in case it disappears again. Thanks","","2015-02-17 15:01:22 -0800","North West of England",""
"859","-1114324992","negative","1","Customer Service Issue","1","United","","1MisterHandsome","","0","@united Call customer service and of course they just say ""theres nothing we can do"" and then offer a transfer and disconnect the line.","","2015-02-17 15:01:30 -0800","","Atlantic Time (Canada)"
"860","1125433344","negative","1","Customer Service Issue","1","Southwest","","TinaIsBack","","0","@SouthwestAir what's yall corporate number bc yall are not trying to accommodate me at all!!!","[40.65957477 -74.17018971]","2015-02-17 15:01:48 -0800","Nashville by way of New York","Central Time (US & Canada)"
"861","671637504","negative","1","Customer Service Issue","1","US Airways","","DocWaaaaaa","","0","@USAirways I been on hold with U for 40mins wasting my time and $ &amp; I don't appreciate it #WheresTheCustomerServiceAt http://t.co/phI2IfNjIT","","2015-02-17 15:01:59 -0800","NEXT D00R 2 U  ( Chiangles )","Pacific Time (US & Canada)"
